Cofinancier,Country,Other Sources,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
EC,EC,EC,1979,1979,,0439,,,,PAK,Baluchistan Livestock Development,CWRD,SAAE,12/12/1979,,,,,0.00,,8.70,,8.70,Non-DVA,,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/12/1979,,,,,Sovereign,,,,European Economic Community,
12.28,0.00,0.00,12.28,0.00,3.08,0.00,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,EC,UNDP","EC,UNDP",1979,1979,,0445,,,,NEP,Livestock Development,SARD,SAAE,12/19/1979,0.00,12.28,0.00,,12.28,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
EC,EC,EC,1979,1979,,0445,,,,NEP,Livestock Development,SARD,SAAE,12/19/1979,,,,,0.00,,3.08,,3.08,Non-DVA,,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/19/1979,,,,,Sovereign,,,,European Economic Community amount ok,
0.00,0.00,0.00,0.00,5.06,0.00,0.00,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"EC,New Zealand","EC,New Zealand",2015,2015,,0456/0457,46044-003,,,SAM,Renewable Energy Development and Power Sector RehabilitationﾗAdditional Financing,PARD,PATE,11/18/2015,,,,,0.00,,,,,,,,,,,3200,Energy,3218,Renewable Energy Generation - Small Hydro,,,,,,,,,,,,,,,,
EC,EC,EC,2015,2015,0456,0456/0457,46044-003,,,SAM,Renewable Energy Development and Power Sector RehabilitationﾗAdditional Financing,PARD,PATE,11/18/2015,,,,,0.00,5.06,,,5.06,DVA,PS,Full Administration,Multilateral,Grant,,3200,Energy,,,04/23/2014,,,Yes,,11/18/2015,,,,Approved,Sovereign,,,,,
0.00,0.00,0.00,55.20,0.00,4.90,0.00,4.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EC,EC,1980,1980,,0479,,,,INO,Lower Citanduy Irrigation,SERD,SEAE,11/13/1980,55.20,0.00,0.00,,55.20,,,,,,,,,,OCR,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
EC,EC,EC,1980,1980,,0479,,,,INO,Lower Citanduy Irrigation,SERD,SEAE,11/13/1980,,,,,0.00,,4.90,,4.90,Non-DVA,,,Multilateral,Loan,OCR,3000,Agriculture and Natural Resources,,,,,,,,11/13/1980,,,,,Sovereign,,,,European Economic Community  amount ok,
30.00,0.00,0.00,30.00,0.00,12.00,0.00,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EC,EC,1980,1980,,0494,,,,PAK,Second Marine Fisheries Development,CWRD,,12/11/1980,0.00,30.00,0.00,,30.00,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
EC,EC,EC,1980,1980,,0494,,,,PAK,Second Marine Fisheries Development,CWRD,,12/11/1980,,,,,0.00,,12.00,,12.00,Non-DVA,,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/11/1980,,,,,Sovereign,,,,European Economic Community  $12.0 million grant in RRP,
67.00,0.00,0.00,67.00,0.00,35.00,0.00,35.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Germany,Norway,Sweden,EC,NIB,World Bank","EC,NIB,World Bank",1980,1980,,0505,,,,PAK,Load Despatch and Transmission,CWRD,,12/22/1980,0.00,67.00,0.00,,67.00,,,,,,,,,,ADF,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
EC,EC,EC,1980,1980,,0505,,,,PAK,Load Despatch and Transmission,CWRD,,12/22/1980,,,,,0.00,,35.00,,35.00,Non-DVA,,,Multilateral,Loan,ADF,3200,Energy,,,,,,,,12/22/1980,,,,,Sovereign,,,,,
20.00,0.00,0.00,20.00,0.00,6.00,0.00,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EC,EC,1981,1981,,0515,,,,MYA,Pump Irrigation and Area Development,SERD,,06/23/1981,0.00,20.00,0.00,,20.00,,,,,,,,,,ADF,3900,Multisector,3900,Multisector,,,Sustainable Economic Growth,,,,,,,,,,,,,
EC,EC,EC,1981,1981,,0515,,,,MYA,Pump Irrigation and Area Development,SERD,,06/23/1981,,,,,0.00,,6.00,,6.00,Non-DVA,,,Multilateral,Loan,ADF,3900,Multisector,3900,,,,,,,06/23/1981,,,,,Sovereign,,,,,
0.00,0.00,0.00,33.60,0.00,12.50,0.00,12.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EC,EC,1981,1981,,0522,,,,INO,Bali Irrigation Sector,SERD,SEAE,09/17/1981,33.60,0.00,0.00,,33.60,,,,,,,,,,OCR,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
EC,EC,EC,1981,1981,,0522,,,,INO,Bali Irrigation Sector,SERD,SEAE,09/17/1981,,,,,0.00,,12.50,,12.50,Non-DVA,,,Multilateral,Loan,OCR,3000,Agriculture and Natural Resources,,,,,,,,09/17/1981,,,,,Sovereign,,,,,
47.00,0.00,0.00,47.00,0.00,7.00,0.00,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EC,EC,1981,1981,,0529,,,,PHI,Palawan Integrated Area Development,SERD,,09/29/1981,0.00,47.00,0.00,,47.00,,,,,,,,,,ADF,3900,Multisector,3900,Multisector,,,Sustainable Economic Growth,,,,,,,,,,,,,
EC,EC,EC,1981,1981,,0529,,,,PHI,Palawan Integrated Area Development,SERD,,09/29/1981,,,,,0.00,,7.00,,7.00,Non-DVA,,,Multilateral,Loan,ADF,3900,Multisector,3900,,,,,,,09/29/1981,,,,,Sovereign,,,,,
50.00,0.00,0.00,50.00,0.00,12.00,0.00,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EC,EC,1981,1981,,0558,,,,BAN,Small-Scale Irrigation (Sector Loan),SARD,SAAE,12/10/1981,0.00,50.00,0.00,,50.00,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
EC,EC,EC,1981,1981,,0558,,,,BAN,Small-Scale Irrigation (Sector Loan),SARD,SAAE,12/10/1981,,,,,0.00,,12.00,,12.00,Non-DVA,,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,12/10/1981,,,,,Sovereign,,,,,
27.20,0.00,0.00,27.20,0.00,2.80,0.00,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EC,EC,1982,1982,,0593,,,,BAN,Bhola Irrigation,SARD,SAAE,11/04/1982,0.00,27.20,0.00,,27.20,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
EC,EC,EC,1982,1982,,0593,,,,BAN,Bhola Irrigation,SARD,SAAE,11/04/1982,,,,,0.00,,2.80,,2.80,Non-DVA,,,Multilateral,Loan,ADF,3000,Agriculture and Natural Resources,,,,,,,,11/04/1982,,,,,Sovereign,,,,,
0.00,0.00,0.00,50.00,0.00,17.00,0.00,17.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EC,EC,1983,1983,,0664,,,,THA,Agricultural Credit,SERD,SERD,12/06/1983,50.00,0.00,0.00,,50.00,,,,,,,,,,OCR,3000,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
EC,EC,EC,1983,1983,,0664,,,,THA,Agricultural Credit,SERD,SERD,12/06/1983,,,,,0.00,,17.00,,17.00,Non-DVA,,,Multilateral,Loan,OCR,3000,Agriculture and Natural Resources,,,,,,,,12/06/1983,,,,,Sovereign,,,,,
5.40,0.00,0.00,5.40,0.00,4.75,0.00,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"EIB,World Bank,EC","EIB,World Bank,EC",1986,1986,,0813,,,,SAM,Afulilo Hydroelectric,PARD,,12/14/1986,0.00,5.40,0.00,,5.40,,,,,,,,,,ADF,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
EC,EC,EC,1986,1986,,0813,,,,SAM,Afulilo Hydroelectric,PARD,,12/14/1986,,,,,0.00,,4.75,,4.75,Non-DVA,,,Multilateral,Loan,ADF,3200,Energy,,,,,,,,12/14/1986,,,,,Sovereign,,,,,
0.00,0.00,0.00,58.00,0.00,9.90,0.00,9.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EC,EC,1990,1990,,1034,,,,PHI,Second Palawan Integrated Area Development,SERD,,09/27/1990,58.00,0.00,0.00,,58.00,,,,,,,,,,OCR,3900,Multisector,3900,Multisector,,,,,,,,,,,,,,,,
EC,EC,EC,1990,1990,,1034,,,,PHI,Second Palawan Integrated Area Development,SERD,,09/27/1990,,,,,0.00,,9.90,,9.90,Non-DVA,,,Multilateral,Loan,OCR,3900,Multisector,3900,,,,,,,09/27/1990,,,,,Sovereign,,,,,
2.00,0.00,0.00,2.00,0.00,1.60,0.00,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"EC,World Bank","EC,World Bank",1993,1993,,1228,,,,SAM,Afulilo Hydroelectric (Supplementary),PARD,,04/22/1993,0.00,2.00,0.00,,2.00,,,,,,,,,,ADF,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
EC,EC,EC,1993,1993,,1228,,,,SAM,Afulilo Hydroelectric (Supplementary),PARD,,04/22/1993,,,,,0.00,,1.60,,1.60,Non-DVA,,,Multilateral,Loan,ADF,3200,Energy,,,,,,,,04/22/1993,,,,,Sovereign,,,,,
54.00,0.00,0.00,54.00,13.00,0.00,0.00,13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,Germany,World Bank,EC","World Bank,EC",1994,1994,,1331,,,,PHI,Women's Health & Safe Motherhood,SERD,SESS,11/10/1994,0.00,54.00,0.00,,54.00,,,,,,,,,,ADF,3400,Health and Social Protection,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
EC,EC,EC,1994,1994,,1331,,,,PHI,Women's Health & Safe Motherhood,SERD,SESS,11/10/1994,,,,,0.00,13.00,,,13.00,Non-DVA,,,Multilateral,Grant,ADF,3400,Health and Social Protection,,,,,,,,11/10/1994,,,,,Sovereign,,,,,
200.00,0.00,0.00,200.00,0.00,50.00,0.00,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Netherlands,U.K.,EC,World Bank","EC,World Bank",1996,1996,,1493,,,,PAK,Social Action Program (Sector) Project II,CWRD,,11/28/1996,0.00,200.00,0.00,,200.00,,,,,,,,,,ADF,3900,Multisector,3900,Multisector,,,,,,,,,,,,,,,,
EC,EC,EC,1996,1996,,1493,,,,PAK,Social Action Program (Sector) Project II,CWRD,,11/28/1996,,,,,0.00,,50.00,,50.00,Non-DVA,,,Multilateral,Loan,ADF,3900,Multisector,3900,,,,,,,11/28/1996,,,,,Sovereign,,,,,
100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Japan,U.K.,Canada,Australia,Norway,Sweden,Netherlands,World Bank,EC","World Bank,EC",2003,2003,,2015/4209(L),30216,,,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,0.00,100.00,0.00,,100.00,,,,,,,,,,ADF,3100,Education,,,,,Inclusive Social and Gender Development,,,,,,,,,Successful,,,"Of the toal amount of Grant, $150M IS FINANCED BY UNITED KINGDOM, $100M BY EC, $50M BY NETHERLANDS, $40M BY NORWAY, $29M BY SWEDEN AND $20M BY CANADA.","DR 2009. Case Study: Improving Primary Education in Bangladesh, pp 14-15. DR 2010. Case Study: Reforming Education, pp 38-39."
EC,EC,EC,2003,2003,4209(L),2015/4209(L),30216,,,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,,,,,0.00,100.00,,,100.00,DVA,PS,Full Administration,Multilateral,Grant,ADF,3100,Education,,,,,,,,11/03/2003,04/19/2004,,07/19/2012,,Sovereign,Successful,,,") ADB admin.  EUR103,000,000","DR 2009. Case Study: Improving Primary Education in Bangladesh, pp 14-15. DR 2010. Case Study: Reforming Education, pp 38-39."
6.40,0.00,0.00,6.40,18.00,0.00,0.00,18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Canada,Denmark,U.K.,Japan,Netherlands,World Bank,EC","World Bank,EC",2004,2004,,2123,,,,VIE,Support to Implementation of Poverty Reduction Program,SERD,VRM,12/09/2004,0.00,6.40,0.00,,6.40,,,,,,,,,,ADF,3600,Public Sector Management,,,,,,,,,,,,,,,,,,
EC,EC,EC,2004,2004,,2123,,,,VIE,Support to Implementation of Poverty Reduction Program,SERD,VRM,12/09/2004,,,,,0.00,18.00,,,18.00,Non-DVA,,,Multilateral,Grant,ADF,3600,Public Sector Management,,,,,,,,12/09/2004,,,,,Sovereign,,,,ﾀ15 million,
0.00,0.00,150.00,150.00,53.20,0.00,0.00,53.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"France,EC",EC,2005,2005,,2167/0006/0011/0045/8221,39144,,,SRI,Tsunami-Affected Areas Rebuilding Project,SARD,SLRM,04/14/2005,0.00,0.00,0.00,150.00,150.00,,,,,,,,,,ADF,3900,Multisector,3900,Multisector,,,,,,,,,,,,Successful,,,,"DR 2010. para on conflict and disaster, pp. 16. DR 2012. para in SARD section on Partnership Results, pp 20."
EC,EC,EC,2005,2005,0011,2167/0006/0011/0045/8221,39144,,,SRI,Tsunami-Affected Areas Rebuilding Project,SARD,SLRM,04/14/2005,,,,,0.00,53.20,,,53.20,DVA,PS,Full Administration,Multilateral,Grant,ADF,3900,Multisector,3900,,,,,,,04/14/2005,07/28/2005,,01/31/2011,,Sovereign,Successful,,,[ATG Grt No.006] EC grant (0011) of Euro 40 million to rehabilitate roads in the South under Component C.,
7.00,0.00,0.00,7.00,16.00,0.00,0.00,16.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EC,EC,2007,2007,,2167/0006/0011/0045/8221,39144,,,SRI,Tsunami-Affected Areas Rebuilding Project (Supplementary),SARD,,06/19/2007,0.00,7.00,0.00,,7.00,,,,,,,,,,ADF,3900,Multisector,3900,Multisector,,,,,,,,,,,,Successful,,,Grant 0011; Supplementary Component C,
EC,EC,EC,2007,2007,0011,2167/0006/0011/0045/8221,39144,,,SRI,Tsunami-Affected Areas Rebuilding Project (Supplementary),SARD,,06/19/2007,,,,,0.00,16.00,,,16.00,DVA,,Full Administration,Multilateral,Grant,ADF,3900,Multisector,3900,,,,,,,06/19/2007,07/28/2005,,01/31/2011,,Sovereign,Successful,,,Grant 0011 (SUPPLEMENTARY-COMPONENT C) ,
15.00,0.00,0.00,15.00,9.80,0.00,0.00,9.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Canada,Denmark,U.K.,Ireland,Japan,Netherlands,Spain,EC,World Bank","EC,World Bank",2005,2005,,2194,,,,VIE,Support to Implementation on Poverty Reduction Program II,SERD,VRM,11/03/2005,0.00,15.00,0.00,,15.00,,,,,,,,,,ADF,3900,Multisector,3900,Multisector,,,Sustainable Economic Growth,,,,,,,,,,,,,
EC,EC,EC,2005,2005,,2194,,,,VIE,Support to Implementation on Poverty Reduction Program II,SERD,VRM,11/03/2005,,,,,0.00,9.80,,,9.80,Non-DVA,,,Multilateral,Grant,ADF,3900,Multisector,3900,,,,,,,11/03/2005,,,,,Sovereign,,,,,
220.00,0.00,80.00,300.00,37.50,0.00,0.00,37.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EC,EC,2005,2005,,2213/0029/0037,39631,,,PAK,Earthquake Emergency Assistance,CWRD,PRM,12/13/2005,0.00,220.00,0.00,80.00,300.00,,,,,,,,,,ADF,3900,Multisector,3900,Multisector,,,Sustainable Economic Growth,,,,,,,,,Succesful,,,$232.5 revaluated ADF Loan; LTAA and OSFMD DB show $220 ,"DR 2012. line on big Development Partnership Results, pp1; para in CWRD section, pp 9; para for PEqF, pp62."
EC,EC,EC,2005,2005,0037,2213/0029/0037,39631,,,PAK,Earthquake Emergency Assistance,CWRD,PRM,12/13/2005,,,,,0.00,37.50,,,37.50,DVA,,Full Administration,Multilateral,Grant,ADF,3900,Multisector,3900,,,,,,,12/13/2005,02/14/2006,,,,Sovereign,Succesful,,,,"DR 2012. line on big Development Partnership Results, pp1; para in CWRD section, pp 9; para for PEqF, pp62."
15.00,0.00,0.00,15.00,11.60,0.00,0.00,11.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,Canada,Denmark,U.K.,Germany,Ireland,Spain,EC,World Bank","EC,World Bank",2006,2006,,2262,,,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,0.00,15.00,0.00,,15.00,,,,,,,,,,ADF,3900,Multisector,3900,Multisector,,,Sustainable Economic Growth,,,,,,,,,,,,,
EC,EC,EC,2006,2006,,2262,,,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,,,,,0.00,11.60,,,11.60,Non-DVA,,,Multilateral,Grant,ADF,3900,Multisector,3900,,,,,,,10/05/2006,,,,,Sovereign,,,,ﾀ10 million.,
0.00,0.00,0.00,0.00,27.00,0.00,0.00,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,EC,EC,2007,2007,,2352,,,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,,,,,0.00,27.00,,,27.00,Non-DVA,PS,,Multilateral,Grant,ADF,3900,Multisector,3900,Multisector,,,,,,10/02/2007,,,,,Sovereign,,,,Grants Euro 20m.,
320.00,0.00,0.00,320.00,70.00,0.00,0.00,70.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"Australia,Canada,Japan,Sweden,U.K.,EC,UNICEF,World Bank","EC,UNICEF,World Bank",2011,2011,,2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,320.00,,,320.00,,,,,,,,,,ADF,3100,Education,3101,Pre-Primary and Basic Education,,,Inclusive Social and Gender Development,,,,,,,,,,,,,"DR 2011. para on grant cof pp 13,15."
EC,EC,EC,2011,2011,2761 (CG3),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,,,,0.00,70.00,,,70.00,DVA,,Collaborative,Multilateral,Grant,ADF,3100,Education,,Pre-Primary and Basic Education,,,,No,,07/05/2011,12/05/2011,,,,Sovereign,,,,,"DR 2011. para on grant cof pp 13,15."
0.00,0.00,0.00,11.19,7.26,0.00,0.00,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EC,EC,2014,2014,,3193/0415,46453-002,,,COO,Renewable Energy Sector,PARD,PATE,11/21/2014,11.19,,,,11.19,,,,,,,,,,,3200,Energy,3216,Renewable Energy Generation - Solar,,,,,,,,,,,,,,,,
EC,EC,EC,2014,2014,0415,3193/0415,46453-002,,,COO,Renewable Energy Sector,PARD,PATE,11/21/2014,,,,,0.00,7.26,,,7.26,DVA,PS,Full Administration,Multilateral,Grant,,3200,Energy,,Renewable Energy Generation - Solar,,,,No,,11/21/2014,,,,,Sovereign,,,,,
120.00,0.00,0.00,120.00,55.48,0.00,0.00,55.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"EC,UNICEF,World Bank,GPE","EC,UNICEF,World Bank,GPE",2015,2015,,3256,42122-013,,,BAN,Third Primary Education DevelopmentﾗAdditional Financing,SARD,SAHS,05/20/2015,,120.00,,,120.00,,,,,,,,,,,3100,Education,3107,Pre-Primary and Primary,,,,,,,,,,,,,,,,
EC,EC,EC,2015,2015,3256 (CG3),3256,42122-013,,,BAN,Third Primary Education DevelopmentﾗAdditional Financing,SARD,SAHS,05/20/2015,,,,,0.00,55.48,,,55.48,DVA,PS,Collaborative,Multilateral,Grant,,3100,Education,,Pre-Primary and Primary,,,,No,,05/20/2015,,,,,Sovereign,,,,"From $46.5, change in amt per Rudi van Dael memo to OCO 2 Dec 2015",
,,,,,,,,,,,,0.00,130.50,79.50,0.00,210.00,0.00,310.00,0.00,310.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00,0.00,0.00,0.00,0.00,150.00,0.00,150.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EDB,EDB,2015,2015,,2993,42145-043,,,ARM,North-South Road Corridor Investment ProgramﾗTranche 3 ﾖ Additional Cofinancing,CWRD,CWTC,04/16/2015,,,,,0.00,,,,,,,,,,,3700,Transport,3701,Road Transport (Non-Urban),,,Regional Cooperation,,,,,,,,,,,,"memo on collaborative cofinancing signed by PO P. Seneviratne, awaiting memo to OCO (as of 4 May 2015)",
EDB,EDB,EDB,2015,2015,2993 (CL),2993,42145-043,,,ARM,North-South Road Corridor Investment ProgramﾗTranche 3 ﾖ Additional Cofinancing,CWRD,CWTC,04/16/2015,,,,,0.00,,150.00,,150.00,DVA,FW,Collaborative,Multilateral,Loan,,3700,Transport,,,,,,Yes,,04/16/2015,,,,,Sovereign,,,,,
65.00,35.00,0.00,100.00,0.00,60.00,0.00,60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EDB,EDB,2013,2013,,3056/0366,45169-001,,,KGZ,"Central Asia Regional Economic Cooperation Corridor 3 (Bishkek-Osh Road) Improvement, Phase 4",CWRD,CWTC,11/05/2013,,65.00,35.00,,100.00,,,,,,,,,,,3700,Transport and ICT,3701,Road Transport,,,Regional Cooperation,,,,,,,,,,,,,
EDB,EDB,EDB,2013,2013,3056 (CL),3056/0366,45169-001,,,KGZ,"Central Asia Regional Economic Cooperation Corridor 3 (Bishkek-Osh Road) Improvement, Phase 4",CWRD,CWTC,11/05/2013,,,,,0.00,,60.00,,60.00,DVA,FW,Collaborative,Multilateral,Loan,,3700,Transport and ICT,,Road Transport,,,,No,,11/05/2013,,,,,Sovereign,,,,,
65.50,44.50,0.00,110.00,0.00,100.00,0.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,EDB,EDB,2014,2014,,3212/0419/8306,46348-003,,,KGZ,Toktogul Rehabilitation Phase 2,CWRD,CWEN,12/02/2014,,65.50,44.50,,110.00,,,,,,,,,,,3200,Energy,"3202, 3215, 3214","Large Hydropower Generation,Energy Sector Development and Institutional Reform,Energy Efficiency and Conservation",,,,,,,,,,,,,,,,
EDB,EDB,EDB,2014,2014,8306,3212/0419/8306,46348-003,,,KGZ,Toktogul Rehabilitation Phase 2,CWRD,CWEN,12/02/2014,,,,,0.00,,100.00,,100.00,DVA,PS,Partial Administration,Multilateral,Loan,,3200,Energy,,"Large Hydropower Generation, Energy Sector Development and Institutional Reform, Energy Efficiency and Conservation",,,,No,,12/02/2014,,,,,Sovereign,,,,Code form processed on 04 April 2016,
,,,,,,,,,,,,"3,179.18",808.70,38.00,0.00,"4,025.88",7.00,"2,161.08",0.00,"2,168.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00,0.00,0.00,16.20,0.00,14.80,0.00,14.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"U.K.,EIB,World Bank","EIB,World Bank",1978,1978,,0345,,,,FIJ,Second Power,PARD,PARD,06/29/1978,16.20,0.00,0.00,,16.20,,,,,,,,,,OCR,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
EIB,EIB,EIB,1978,1978,,0345,,,,FIJ,Second Power,PARD,PARD,06/29/1978,,,,,0.00,,14.80,,14.80,Non-DVA,,,Multilateral,Loan,OCR,3200,Energy,,,,,,,,06/29/1978,,,,,Sovereign,,,,,
0.00,0.00,0.00,0.00,0.00,50.00,0.00,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EIB,EIB,EIB,2014,2014,0409 (CL1),0409/0410/0429,46122-003,,,,Preparing Outer Islands for Sustainable Energy Development,SARD,SAEN,09/29/2014,,,,,0.00,,50.00,,50.00,DVA,PS,Collaborative,Multilateral,Loan,,3200,Energy,"3201, 3216, 3214",Conventional Energy Generation,,,,No,,09/29/2014,,,,,Sovereign,,,,,
0.00,38.00,0.00,38.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"EIB,IsDB,SCF-SREP","EIB,IsDB,SCF-SREP",2014,2014,,0409/0410/0429,46122-003,,,MLD,Preparing Outer Islands for Sustainable Energy Development,SARD,SAEN,09/29/2014,,,38.00,,38.00,,,,,,,,,,,3200,Energy,"3201, 3216, 3214","Conventional Energy Generation,Renewable Energy ﾖ Solar,Energy Efficiency and Conservation",,,,,,,,,,,,,,,,
0.00,0.00,0.00,16.00,0.00,13.30,0.00,13.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"U.K.,EIB",EIB,1981,1981,,0536,,,,FIJ,Third Power,PARD,,11/10/1981,16.00,0.00,0.00,,16.00,,,,,,,,,,OCR,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
EIB,EIB,EIB,1981,1981,,0536,,,,FIJ,Third Power,PARD,,11/10/1981,,,,,0.00,,13.30,,13.30,Non-DVA,,,Multilateral,Loan,OCR,3200,Energy,,,,,,,,11/10/1981,,,,,Sovereign,,,,,
5.40,0.00,0.00,5.40,0.00,2.54,0.00,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,"EIB,World Bank,EC","EIB,World Bank,EC",1986,1986,,0813,,,,SAM,Afulilo Hydroelectric,PARD,,12/14/1986,0.00,5.40,0.00,,5.40,,,,,,,,,,ADF,3200,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
EIB,EIB,EIB,1986,1986,,0813,,,,SAM,Afulilo Hydroelectric,PARD,,12/14/1986,,,,,0.00,,2.54,,2.54,Non-DVA,,,Multilateral,Loan,ADF,3200,Energy,,,,,,,,12/14/1986,,,,,Sovereign,,,,,
